Ministry,Budget_07-08,Budget_20-21,Budget_10-11,Budget_06-07,Budget_15-16,Budget_22-23,Budget_12-13,Budget_13-14,Budget_23-24,Budget_21-22,Budget_09-10,Budget_19-20,Budget_05-06,Budget_16-17,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24,CAGR
cc. women and child development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14257.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
central pool of resources for ne and sikkim,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,585.0,0.0,-100.0,0.0,16.666666666666664,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central pool of resources for ner and sikkim,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
central vigilance commission,0.0,39.0,0.0,0.0,0.0,41.96,0.0,0.0,44.46,38.67,0.0,35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.704641350210979,-0.8461538461538418,8.50788725109904,5.958055290753098,0.0
chandigarh,1104.91,4635.1,1920.89,1032.9,3457.16,0.0,2546.96,3074.32,0.0,4661.12,1772.56,4291.7,994.43,3544.54,3.8685478113090053,6.971633265562977,60.42573603279904,8.368122940831348,32.592704423470366,20.705468480070362,12.452835098493315,2.5275081280588725,21.07918093744181,8.001491250553407,0.5613686867597145,-100.0,0.0,0.0
chemicals and petro-chemicals,257.0,0.0,420.0,169.4,0.0,0.0,0.0,0.0,0.0,0.0,265.15,0.0,913.25,0.0,-81.45086230495482,51.71192443919716,3.171206225680925,58.40090514802944,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooperation,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,1150.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.82000000000001,0.0
d. commerce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dadra and nagar haveli,131.88,0.0,287.02,121.5,892.9,0.0,716.56,796.98,0.0,0.0,247.13,1177.99,114.7,1060.84,5.928509154315603,8.543209876543207,87.39005156202609,16.14130214866669,149.65507630130304,11.22306575862455,12.035433762453255,18.808377197894494,11.043135628369981,-100.0,0.0,0.0,0.0,0.0
dadra and nagar haveli and daman and diu,0.0,2180.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1038651330875278,-100.0,0.0,0.0
daman and diu,130.67,0.0,269.18,121.89,879.82,0.0,683.2,758.71,0.0,0.0,239.09,821.48,115.52,766.72,5.514196675900282,7.203216014439237,82.97237315374609,12.585218955205155,153.80786091091466,11.052400468384073,15.962620764191854,-12.854902139073904,7.14211185308848,-100.0,0.0,0.0,0.0,0.0
dd. youth affairs and sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
defence,16695.83,14500.0,0.0,15123.84,63352.6,20100.0,44798.24,49673.79,22612.5,15257.34,24960.0,17065.12,13952.0,118465.84,8.39908256880734,10.394119482882665,49.498407686230614,-100.0,0.0,10.88335166738694,27.53727871378447,86.99444063858468,-85.59490229419721,-15.031362217200927,5.223034482758622,31.739870776950635,12.5,3.784309675206643
defence pensions,0.0,133825.0,0.0,0.0,0.0,119696.0,0.0,0.0,138205.0,115850.0,0.0,112079.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.401778575702952,-13.43172053054362,3.3198100992662924,15.463340462505013,0.0
department for promotion of industry and internal trade,0.0,6605.55,0.0,0.0,0.0,8348.0,0.0,0.0,8200.63,7782.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.813656697776864,7.269886305228318,-1.7653330138955532,0.0
development of north eastern region,93.07,3048.73,209.33,62.79,564.74,2800.0,229.33,250.97,5892.0,2658.0,101.47,3000.0,52.23,830.01,20.21826536473292,48.22423952858735,9.025464703986254,106.29742781117572,9.55429226580041,9.436183665460247,125.02291110491292,46.97205793816623,261.44142841652507,1.6243333333333339,-12.816156235547261,5.342362678705794,110.42857142857143,43.8376292439713
direct taxes,0.0,8063.39,0.0,0.0,0.0,9306.8,0.0,0.0,9890.87,8530.34,0.0,7336.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.908756835740506,5.790988653655594,9.102333552941607,6.2757338720075815,0.0
